City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,ust'-kut,56.7938,105.7672,-33.24,97,100,1.41,RU,1738804785
221,mareeba,-17.0,145.4333,28.84,71,91,1.43,AU,1738804786
222,youhao,47.8667,128.8333,-18.64,91,100,2.72,CN,1738804787
223,kingston,17.997,-76.7936,26.53,57,20,0.51,JM,1738804789
224,amble,55.3333,-1.5833,3.08,87,0,4.63,GB,1738804790
225,saipan,15.1355,145.701,32.39,70,40,8.23,MP,1738804791
226,pangkalpinang,-2.1333,106.1333,25.14,90,100,3.03,ID,1738804792
227,thal,35.4791,72.2439,-9.57,87,88,2.59,PK,1738804793
228,hawaiian paradise park,19.5933,-154.9731,24.37,75,100,4.63,US,1738804794
229,mata-utu,-13.2816,-176.1745,28.85,65,88,3.12,WF,1738804795
230,nikolayevsk-on-amure,53.1406,140.73,-4.18,95,100,6.98,RU,1738804796
231,cartagena del chaira,1.3349,-74.8429,27.22,58,100,1.09,CO,1738804798
232,qulsary,46.9531,54.0198,-5.14,83,29,6.36,KZ,1738804799
233,kristiansund,63.1115,7.732,6.36,61,40,6.17,NO,1738804800
234,callao,-12.0667,-77.15,25.95,83,0,4.63,PE,1738804801
235,borca,47.1833,25.7667,-3.63,97,100,1.23,RO,1738804802
236,kailua-kona,19.6406,-155.9956,26.98,68,20,4.12,US,1738804803
237,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,47,20,4.0,RU,1738804804
238,tual,-5.6667,132.75,27.45,82,100,10.75,ID,1738804806
239,turpan,42.9333,89.1667,-4.67,61,0,1.04,CN,1738804807
240,afaahiti,-17.75,-149.2833,26.44,76,88,6.1,PF,1738804809
241,ancud,-41.8697,-73.8203,12.95,87,54,3.59,CL,1738804810
242,cholpon-ata,42.6494,77.0823,-2.95,54,49,2.53,KG,1738804811
243,kzyltu,53.6364,72.3414,-18.24,97,22,3.47,KZ,1738804812
244,uglegorsk,49.0833,142.0333,-0.12,71,44,5.7,RU,1738804814
245,bazarnyy syzgan,53.7512,46.7535,-9.96,97,100,2.39,RU,1738804815
246,cabo san lucas,22.8909,-109.9124,24.17,28,0,2.57,MX,1738804816
247,hauterive,46.0901,3.4459,-0.45,95,17,0.52,FR,1738804817
248,nuuk,64.1835,-51.7216,-12.66,61,75,2.57,GL,1738804797
249,maloye ganyushkino,46.6,49.2667,-3.06,73,21,4.69,KZ,1738804820
250,garcia,25.8167,-100.5833,24.37,67,0,3.13,MX,1738804821
251,fale old settlement,-9.3852,-171.2468,28.6,72,99,7.14,TK,1738804822
252,bajil,15.0584,43.2851,20.69,78,0,1.52,YE,1738804823
253,lorengau,-2.0226,147.2712,29.24,71,32,3.72,PG,1738804824
254,pirai do sul,-24.5261,-49.9486,17.62,99,100,1.93,BR,1738804825
255,mahajanga,-15.7167,46.3167,24.8,89,100,2.83,MG,1738804826
256,sao raimundo nonato,-9.0153,-42.6994,22.88,59,0,0.7,BR,1738804827
257,umluj,25.0213,37.2685,20.59,58,100,5.43,SA,1738804828
258,rio gallegos,-51.6226,-69.2181,15.03,47,0,6.69,AR,1738804829
259,olinda,-8.0089,-34.8553,22.85,100,100,3.09,BR,1738804830
260,san julian,21.0167,-102.1667,18.76,22,17,2.82,MX,1738804832
261,mejit,10.2753,170.8646,26.46,84,93,9.5,MH,1738804833
262,lautoka,-17.6167,177.4667,29.92,74,40,5.66,FJ,1738804834
263,phan rang-thap cham,11.5667,108.9833,22.29,67,0,3.14,VN,1738804835
264,happy valley-goose bay,53.3168,-60.3315,-18.83,60,0,5.14,CA,1738804836
265,narvik,68.4384,17.4272,1.88,99,100,5.85,NO,1738804837
266,colonia,50.9333,6.95,4.42,90,100,1.03,DE,1738804838
267,fomboni,-12.28,43.7425,27.7,81,100,10.01,KM,1738804839
268,greenville,35.6127,-77.3663,6.74,79,100,2.57,US,1738804840
269,nogliki,51.8333,143.1667,-1.47,96,100,12.99,RU,1738804841
270,flying fish cove,-10.4217,105.6791,26.82,94,100,5.66,CX,1738804842
271,lucapa,-8.4192,20.7447,18.98,85,100,0.92,AO,1738804843
272,tsiombe,-25.3,45.4833,24.24,95,4,2.12,MG,1738804846
273,yasuj,30.6682,51.588,4.75,33,75,0.0,IR,1738804847
274,angaur state,6.906,134.13,27.4,84,100,8.09,PW,1738804848
275,peterhead,57.5058,-1.7981,4.56,76,0,4.33,GB,1738804849
276,el obeid,13.1842,30.2167,18.85,20,31,6.64,SD,1738804850
277,cadale,2.7603,46.3222,24.13,88,41,8.61,SO,1738804851
278,tromso,69.6496,18.957,1.01,86,75,11.83,NO,1738804852
279,mockrehna,51.5076,12.8142,1.34,94,100,1.98,DE,1738804853
280,codrington,-38.2667,141.9667,24.93,49,0,4.17,AU,1738804855
281,polyarnyy,69.1989,33.4478,-5.19,91,93,10.51,RU,1738804856
282,madalena,41.2162,-8.3345,9.32,71,99,1.59,PT,1738804857
283,baturaja,-4.1333,104.1667,24.87,90,68,2.5,ID,1738804858
284,chegdomyn,51.1167,133.0167,-12.57,83,100,2.12,RU,1738804859
285,east london,-33.0153,27.9116,21.33,87,100,5.69,ZA,1738804860
286,santa luzia,-19.7697,-43.8514,24.5,56,0,2.57,BR,1738804861
287,nuwara eliya,6.9708,80.7829,8.13,76,42,1.31,LK,1738804862
288,doschatoye,55.3825,42.1072,-6.31,93,15,1.92,RU,1738804863
289,upington,-28.4478,21.2561,25.26,29,100,5.91,ZA,1738804864
290,crane,31.3974,-102.3501,24.46,20,0,3.53,US,1738804865
291,kuanda,56.3161,116.0806,-35.92,94,57,0.22,RU,1738804866
292,sao joao do paraiso,-15.3136,-42.0144,18.47,72,0,2.48,BR,1738804867
293,berezovyy,51.6667,135.7,-12.16,92,100,6.06,RU,1738804869
294,tadine,-21.55,167.8833,27.39,80,55,7.13,NC,1738804870
295,queenstown,-31.8976,26.8753,15.05,85,100,1.07,ZA,1738804871
296,saint croix,17.7397,-64.7388,23.86,83,40,3.6,VI,1738804872
297,remire-montjoly,4.9167,-52.2667,27.02,89,100,2.57,GF,1738804873
298,tezu,27.9167,96.1667,17.81,60,95,0.73,IN,1738804874
299,aasiaat,68.7098,-52.8699,-31.58,99,57,2.05,GL,1738804875
300,boldumsaz,42.1282,59.671,1.13,70,7,3.97,TM,1738804876
301,kidal,18.4411,1.4078,23.79,28,100,4.11,ML,1738804877
302,manta,-0.95,-80.7333,26.88,78,75,3.09,EC,1738804878
303,zhosaly,45.4878,64.0781,-6.95,79,12,6.94,KZ,1738804879
304,bani mazar,28.5036,30.8004,11.8,67,99,5.9,EG,1738804881
305,fredericksburg,38.3032,-77.4605,2.36,72,100,3.09,US,1738804882
306,la passe,45.5549,-0.8967,5.74,87,41,5.3,FR,1738804883
307,swabi,34.1199,72.4699,7.48,54,8,1.76,PK,1738804884
308,eyl,7.9803,49.8164,21.8,78,6,7.4,SO,1738804885
309,punta cana,18.5818,-68.4043,22.87,94,75,5.14,DO,1738804784
310,murakami,38.2333,139.4833,-0.33,65,100,10.86,JP,1738804680
311,nkowakowa,-23.8878,30.2871,22.98,86,88,1.06,ZA,1738804888
312,ankang,32.68,109.0172,5.97,38,100,1.35,CN,1738804801
313,ola,59.5833,151.2833,-18.77,76,1,3.76,RU,1738804890
